website,photo,ready_to_link,ordernum,lat,lon,city,name_search,photo_version,zip,country_short_code,bad_standing,effective_date,status,address,active,state_code,show_on_map,kids,name,country,org_type,aid,full_state
http://crossfitnq.com.au/,https://profilepicsbucket.crossfit.com/83ea6-A893_1-184.jpg,1,237,-19.26602,146.786637,Townsville,crossfit,1,4810,AU,0,2006-05-03T07:00:00Z,0,Unit 7, 197 Ingham Rd, West End,1,QLD,1,1,CrossFit North Queensland,Australia,Commercial,893,Queensland
http://www.crossfitwestside.com/,https://profilepicsbucket.crossfit.com/dc417-A894_4-184.jpg,1,244,49.262591,-123.109489,Vancouver,crossfit,4,V5Y 3E9,CA,0,2006-05-08T07:00:00Z,0,2520 Columbia Street,1,BC,1,0,CrossFit Westside,Canada,Commercial,894,British Columbia
http://www.crossfitsydney.com.au/,https://profilepicsbucket.crossfit.com/332dc-A885_2-184.jpg,1,239,-33.9025625,151.198588,Alexandria,crossfit,2,2015,AU,0,2006-05-11T07:00:00Z,0,32 McCauley Street,1,NSW,1,0,CrossFit Sydney,Australia,Commercial,885,New South Wales
http://www.crossfitfairfax.com/,https://profilepicsbucket.crossfit.com/0e926-A819_2-184.jpg,1,240,38.8774102,-77.2337168,Fairfax,crossfit,2,22031,US,0,2006-05-14T07:00:00Z,0,2831 Dorr Ave,1,VA,1,1,CrossFit Fairfax,United States,Commercial,819,Virginia
http://www.crossfitsacramento.com/,https://profilepicsbucket.crossfit.com/7f13b-A876_1-184.jpg,1,248,38.5858741,-121.4014944,Sacramento,crossfit,1,95825,US,0,2006-05-26T07:00:00Z,0,1146 Fulton Ave,1,CA,1,0,CrossFit Sacramento,United States,Commercial,876,California
http://www.crossfitmelbourne.com.au/,https://profilepicsbucket.crossfit.com/71843-A830_2-184.jpg,1,268,-37.8876043,145.0278334,Caulfield South,crossfit,2,3162,AU,0,2006-07-13T07:00:00Z,0,First floor, 904 Glen Huntly Rd,1,VIC,1,0,CrossFit Melbourne,Australia,Commercial,830,Victoria
http://www.diablocrossfit.com/,https://profilepicsbucket.crossfit.com/de3b4-A793_10-184.jpg,1,251,37.942488,-122.053063,Pleasant Hill,diablo,10,94523,US,0,2006-07-21T07:00:00Z,0,2447 Estand Way,1,CA,1,1,Diablo CrossFit,United States,Commercial,793,California
http://www.crossfitoceancity.com/,https://profilepicsbucket.crossfit.com/208ef-A840_6-184.jpg,1,247,38.37646521202339,-75.15915726099506,Berlin,crossfit,6,21811,US,0,2006-07-22T07:00:00Z,0,11307 Manklin Creek, Unit A2,1,MD,1,1,CrossFit Ocean City,United States,Commercial,840,Maryland
http://www.crossfitchampions.com/,https://profilepicsbucket.crossfit.com/c6773-A788_2-184.jpg,1,246,30.0222011,-95.6094689,Tomball,crossfit,2,77377,US,0,2006-07-28T07:00:00Z,0,17575 North Eldridge Parkway, Suite C,1,TX,1,1,CrossFit Champions,United States,Commercial,788,Texas
http://crossfitflagstaff.com/,https://profilepicsbucket.crossfit.com/bfc0f-A820_3-184.jpg,1,249,35.19344,-111.71715,Flagstaff,crossfit,3,86001,US,0,2006-08-03T07:00:00Z,0,6200 W Belle Springs Wy.,1,AZ,1,1,CrossFit Pivot,United States,Commercial,820,Arizona
http://www.crossfitnewcastle.com.au,https://profilepicsbucket.crossfit.com/5776d-A835_4-184.jpg,1,259,-32.924736,151.724347,New Lambton,crossfit,4,2305,AU,0,2006-08-06T07:00:00Z,0,22 Newton St,1,NSW,1,0,CrossFit Newcastle,Australia,Commercial,835,New South Wales
http://www.crossfitlasvegas.com/,https://profilepicsbucket.crossfit.com/0c095-A827_2-184.jpg,1,258,36.154584,-115.1331,Las Vegas,crossfit,2,89104,US,0,2006-08-10T07:00:00Z,0,1312 S 15th Street,1,NV,1,1,CrossFit Las Vegas,United States,Commercial,827,Nevada
http://crossfitoneworld.com/,https://profilepicsbucket.crossfit.com/85078-A841_2-184.jpg,1,252,37.5955063,-122.0327433,Union City,crossfit,2,94587,US,0,2006-08-10T07:00:00Z,0,33415 Western Ave,1,CA,1,0,CrossFit One World,United States,Commercial,841,California
http://www.crossfitwhistler.com/,https://profilepicsbucket.crossfit.com/2904c-A891_7-184.jpg,1,257,50.0889953,-123.0379002,Whistler,crossfit,7,V0N 1B1,CA,0,2006-09-05T07:00:00Z,0,1-1345 Alpha Lake Road,1,BC,1,0,CrossFit Whistler,Canada,Commercial,891,British Columbia
http://crossfitmanchester.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,272,53.4137157,-2.1346772,Stockport,crossfit,0,SK6 2BP,GB,0,2006-10-03T07:00:00Z,0,Pear Mill Industrial Estate, Stockport Road West, Lower Bredbury,1,,1,0,CrossFit Manchester,United Kingdom,Commercial,984,
http://www.saintcitycrossfit.com/,https://profilepicsbucket.crossfit.com/24119-A980_1-184.jpg,1,264,53.649735,-113.5710286,St. Albert,n3p,1,T8N 0R8,CA,0,2006-10-15T07:00:00Z,0,190 Carleton Drive #103,1,AB,1,0,N3P CrossFit,Canada,Commercial,980,Alberta
http://www.crossfitbrisbane.com,https://profilepicsbucket.crossfit.com/54431-A933_3-184.jpg,1,261,-27.4899627,153.0535806,Coorparoo,crossfit,3,4151,AU,0,2006-10-19T07:00:00Z,0,47 Clarence St,1,QLD,1,1,CrossFit Brisbane,Australia,Commercial,933,Queensland
http://www.crossfitrochester.com/,https://profilepicsbucket.crossfit.com/7247b-A940_2-184.jpg,1,271,43.0971406,-77.5253383,Pittsford,crossfit,2,14534,US,0,2006-10-20T07:00:00Z,0,3750 Monroe Ave,1,NY,1,1,CrossFit Rochester,United States,Commercial,940,New York
http://www.crossfitie.typepad.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,262,33.988677,-117.5583697,Eastvale,crossfit,0,91752,US,0,2006-10-29T07:00:00Z,0,5379 Hamner Avenue, # 802,1,CA,1,1,CrossFit Eastvale,United States,Commercial,938,California
http://Www.crossfitnika.com,https://profilepicsbucket.crossfit.com/435ac-A8040_2-184.jpg,1,6379,29.028601,-81.318771,DeLand,crossfit,2,32720,US,0,2006-11-13T08:00:00Z,0,811 West New York ave,1,FL,1,1,CrossFit Nika,United States,Commercial,8040,Florida
http://www.mikesgym.org/,https://profilepicsbucket.crossfit.com/pukie.png,1,190,33.294097,-117.188636,Bonsall,crossfit,0,92003,US,0,2006-11-13T08:00:00Z,0,32067 Via Vera,1,CA,1,0,CrossFit Mikes Gym,United States,Commercial,832,California
http://crossfitmn.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,277,44.8681836,-93.3596589,Edina,crossfit,0,55439,US,0,2006-11-15T08:00:00Z,0,7399 Bush Lake Road,1,MN,1,0,CrossFit Edina,United States,Commercial,932,Minnesota
http://www.crossfitthousandoaks.com/,https://profilepicsbucket.crossfit.com/5afc2-A937_3-184.jpg,1,273,34.16582,-118.838885,Thousand Oaks,crossfit,3,91361,US,0,2006-11-15T08:00:00Z,0,3155 Willow Ln,1,CA,1,0,CrossFit Thousand Oaks,United States,Commercial,937,California
http://www.roguecolumbus.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,265,39.985313,-82.990293,Columbus,crossfit,0,43201,US,0,2006-11-15T08:00:00Z,0,545 East 5th Ave.,1,OH,1,0,CrossFit Columbus,United States,Commercial,939,Ohio
http://www.crossfitmarin.com/,https://profilepicsbucket.crossfit.com/f0206-A942_3-184.jpg,1,285,37.935,-122.520215,Corte Madera,crossfit,3,94925,US,0,2006-11-15T08:00:00Z,0,405 Tamal Plaza,1,CA,1,1,CrossFit Marin,United States,Commercial,942,California
http://www.crossfitcharlotte.com/,https://profilepicsbucket.crossfit.com/bc53b-A931_10-184.jpg,1,284,35.1449489,-80.737201,Charlotte,crossfit,10,28270,US,0,2006-12-01T08:00:00Z,0,9535 Monroe Road, Suite 100,1,NC,1,1,CrossFit Charlotte,United States,Commercial,931,North Carolina
http://www.crossfithouston.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,275,29.734159,-95.331604,Houston,crossfit,0,77023,US,0,2006-12-15T08:00:00Z,0,716 Telephone Rd.,1,TX,1,0,CrossFit Houston,United States,Commercial,976,Texas
http://www.indycrossfit.com/,https://profilepicsbucket.crossfit.com/f4f17-A977_2-184.jpg,1,276,39.7674374,-86.0728923,Indianapolis,indy,2,46219,US,0,2006-12-15T08:00:00Z,0,211 S Ritter Ave Suite G,1,IN,1,0,Indy CrossFit,United States,Commercial,977,Indiana
http://www.crossfitflathead.com/,https://profilepicsbucket.crossfit.com/6bd18-A981_9-184.jpg,1,281,48.136565,-114.275847,Kalispell,crossfit,9,59901,US,0,2007-02-07T08:00:00Z,0,194 Frontage Park,1,MT,1,0,CrossFit Flathead,United States,Commercial,981,Montana
http://crossfitdover.com/,https://profilepicsbucket.crossfit.com/6f277-A982_3-184.jpg,1,270,39.1533598,-75.5500921,Dover,crossfit,3,19904,US,0,2007-02-07T08:00:00Z,0,155-L Commerce Way,1,DE,1,1,CrossFit Dover,United States,Commercial,982,Delaware
http://crossfitspokane.blogspot.com/,https://profilepicsbucket.crossfit.com/16406-A985_4-184.jpg,1,274,47.672049,-117.408513,Spokane,crossfit,4,99202,US,0,2007-02-07T08:00:00Z,0,123 E Mission Ave,1,WA,1,0,CrossFit Spokane,United States,Commercial,985,Washington
http://www.CrossFitEvolution.com,https://profilepicsbucket.crossfit.com/a3f94-A994_3-184.jpg,1,288,28.6993466,-81.3325539,Longwood,crossfit,3,32750,US,0,2007-03-26T07:00:00Z,0,851 E State Rd 434, Suite 208,1,FL,1,0,CrossFit Evolution,United States,Commercial,994,Florida
http://crossfitomaha.com/,https://profilepicsbucket.crossfit.com/a721e-A1033_3-184.jpg,1,295,41.229195,-96.04562,Omaha,crossfit,3,68124,US,0,2007-04-27T07:00:00Z,0,8529 Frederick Street,1,NE,1,0,CrossFit Omaha,United States,Commercial,1033,Nebraska
http://www.turlockcrossfit.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,460,37.495047,-120.872518,Turlock,crossfit,0,95380,US,0,2007-04-27T07:00:00Z,0,351 N Walnut, SP#12,1,CA,1,0,CrossFit Turlock,United States,Commercial,1034,California
https://thecrossfitmaricopa.com/,https://profilepicsbucket.crossfit.com/1a938-A1037_3-184.jpg,1,1828,33.075051,-112.045133,Maricopa,crossfit,3,85139,US,0,2007-04-28T07:00:00Z,0,21576 N John Wayne Parkway Ste 2B,1,AZ,1,0,CrossFit Maricopa,United States,Commercial,1037,Arizona
http://www.crossfitpc.com,https://profilepicsbucket.crossfit.com/b0fb5-A1038_2-184.jpg,1,301,40.69011,-111.46372,Park City,crossfit,2,84098,US,0,2007-04-28T07:00:00Z,0,4108 Forestdale Dr,1,UT,1,1,CrossFit Park City,United States,Commercial,1038,Utah
http://www.clevelandcrossfit.com,https://profilepicsbucket.crossfit.com/38f40-A1039_2-184.jpg,1,296,41.507998,-81.6766099,Cleveland,crossfit,2,44114,US,0,2007-05-07T07:00:00Z,0,2218 Superior Ave E,1,OH,1,0,CrossFit CLE,United States,Commercial,1039,Ohio
http://crossfitcincinnati.net/,https://profilepicsbucket.crossfit.com/42c13-A799_2-184.jpg,1,303,39.2209355,-84.3831576,Cincinnati,crossfit,2,45242,US,0,2007-05-12T07:00:00Z,0,8980 Blue Ash Rd,1,OH,1,1,CrossFit Cincinnati,United States,Commercial,799,Ohio
http://www.Oceansidecrossfit.com,https://profilepicsbucket.crossfit.com/93c7a-A1040_6-184.jpg,1,300,33.206951,-117.295382,Oceanside,oceanside,6,92057,US,0,2007-05-16T07:00:00Z,0,4040 Calle Platino, Suite 116,1,CA,1,0,Oceanside CrossFit,United States,Commercial,1040,California
http://www.crossfitcentralli.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,337,40.803978,-73.519764,Syosset,crossfit,0,11791,US,0,2007-05-16T07:00:00Z,0,140 Eileen Way,1,NY,1,0,CrossFit Syosset,United States,Commercial,1041,New York
http://www.crossfitcleveland.com,https://profilepicsbucket.crossfit.com/7698e-A1042_2-184.jpg,1,298,41.481673,-81.839109,Rocky River,crossfit,2,44116,US,0,2007-05-16T07:00:00Z,0,1211 Allen Court,1,OH,1,0,CrossFit Cleveland,United States,Commercial,1042,Ohio
http://crossfitlegacy.com/,https://profilepicsbucket.crossfit.com/4b695-A1043_2-184.jpg,1,299,41.007555,-81.633892,Barberton,crossfit,2,44203,US,0,2007-05-26T07:00:00Z,0,1245 Wooster Road West,1,OH,1,0,CrossFit Legacy,United States,Commercial,1043,Ohio
http://www.crossfitdelawarevalley.com/,https://profilepicsbucket.crossfit.com/de199-A1082_3-184.jpg,1,307,39.9601744,-75.3357312,Broomall,crossfit,3,19008,US,0,2007-06-26T07:00:00Z,0,575 Abbott Drive,1,PA,1,1,CrossFit Delaware Valley,United States,Commercial,1082,Pennsylvania
http://www.stonebrookstrength.com/,https://profilepicsbucket.crossfit.com/c7d84-A1084_8-184.jpg,1,310,49.533877935631324,-96.68666169761875,Steinbach,sbs,8,R5G 1T1,CA,0,2007-07-01T07:00:00Z,0,19D Highway #12,1,MB,1,0,SBS CrossFit,Canada,Commercial,1084,Manitoba
http://12labourscrossfitbwi.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,309,39.161381,-76.6724009,Hanover,crossfit,0,21061,US,0,2007-07-10T07:00:00Z,0,501 McCormick Drive, Suite T-V,1,MD,1,0,CrossFit BWI,United States,Commercial,1086,Maryland
http://www.crossfitchesapeake.com/,https://profilepicsbucket.crossfit.com/ca926-A1087_1-184.jpg,1,776,36.714677294815075,-76.31615632195259,Chesapeake,crossfit,1,23323,US,0,2007-07-11T07:00:00Z,0,1009 Scenic Parkway Suite E,1,VA,1,1,CrossFit Chesapeake,United States,Commercial,1087,Virginia
http://crossfitbuffalo.com/,https://profilepicsbucket.crossfit.com/4d492-A1088_3-184.jpg,1,320,42.9187269,-78.756398,Cheektowaga,crossfit,3,14225,US,0,2007-07-17T07:00:00Z,0,3820 Union Rd,1,NY,1,0,CrossFit Buffalo,United States,Commercial,1088,New York
http://www.crossfitbodo.no/,https://profilepicsbucket.crossfit.com/c5da3-A1092_1-184.jpg,1,380,67.2704792,14.3401419,Bodo,crossfit,1,8003,NO,0,2007-07-22T07:00:00Z,0,Langstranda 5,1,,1,1,CrossFit Bodo,Norway,Commercial,1092,
http://www.crossfithardcore.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,314,26.4067852,-80.1116399,Boca Raton,crossfit,0,33487,US,0,2007-07-26T07:00:00Z,0,1121 Holland Drive #1,1,FL,1,0,CrossFit HardCore,United States,Commercial,1095,Florida
http://ifymca.org/default.asp?ID=134,https://profilepicsbucket.crossfit.com/pukie.png,1,316,43.4881787,-112.03431,Idaho Falls,idaho,0,83402,US,0,2007-07-26T07:00:00Z,0,155 N Corner St,1,ID,1,0,Idaho Falls Family YMCA,United States,Commercial,1096,Idaho
http://crossfitagoge.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,318,38.472557,-107.877474,Montrose,crossfit,0,81401,US,0,2007-07-27T07:00:00Z,0,475 Water Ave.,1,CO,1,1,CrossFit Agoge,United States,Commercial,1098,Colorado
http://www.crossfitrockwall.com,https://profilepicsbucket.crossfit.com/44338-A1100_4-184.jpg,1,321,32.9275058,-96.4597575,Rockwall,crossfit,4,75087,US,0,2007-08-02T07:00:00Z,0,407 South Goliad, Suite D,1,TX,1,1,CrossFit Rockwall,United States,Commercial,1100,Texas
http://www.crossfitgeneration.net,https://profilepicsbucket.crossfit.com/e573e-A1102_6-184.jpg,1,322,40.202609,-75.174667,Horsham,crossfit,6,19044,US,0,2007-08-02T07:00:00Z,0,417 Caredean Drive, Suite C & D,1,PA,1,1,CrossFit Generation,United States,Commercial,1102,Pennsylvania
http://www.crossfitireland.ie/,https://profilepicsbucket.crossfit.com/1f2ea-A1143_3-184.jpg,1,331,53.327278,-6.2351515,Dublin,crossfit,3,18,IE,0,2007-08-30T07:00:00Z,0,T27 Rowan Avenue Stillorgan Industrial Park,1,,1,1,CrossFit Ireland,Ireland,Commercial,1143,
http://crossfitjenks.com/,https://profilepicsbucket.crossfit.com/1bf4a-A1150_2-184.jpg,1,339,36.031282,-95.970625,Jenks,crossfit,2,74037,US,0,2007-09-11T07:00:00Z,0,206 West K Place,1,OK,1,1,CrossFit Jenks,United States,Commercial,1150,Oklahoma
http://www.crossfitfx.com/,https://profilepicsbucket.crossfit.com/c34e2-A1152_2-184.jpg,1,345,-33.979376,151.11531,Carlton,crossfit,2,2218,AU,0,2007-09-12T07:00:00Z,0,175 Bellevue Parade,1,NSW,1,0,CrossFit Effects (FX),Australia,Commercial,1152,New South Wales
http://www.crossfitcp.com,https://profilepicsbucket.crossfit.com/0d075-A1155_2-184.jpg,1,373,30.459504,-97.831468,Austin,crossfit,2,78726,US,0,2007-09-13T07:00:00Z,0,12112 Anderson Mill Rd, Suite 8B,1,TX,1,0,CrossFit Cedar Park,United States,Commercial,1155,Texas
http://www.localsgym.com,https://profilepicsbucket.crossfit.com/0264c-A1156_4-184.jpg,1,344,47.822045,-122.261095,Lynnwood,lynnwood,4,98036,US,0,2007-09-19T07:00:00Z,0,2031 196th St SW B-101,1,WA,1,1,Lynnwood CrossFit,United States,Commercial,1156,Washington
http://www.CrossFitPeru.com,https://profilepicsbucket.crossfit.com/919ab-A756_3-184.jpg,1,498,-12.0972833,-76.9951041,San Borja,crossfit,3,,PE,0,2007-09-20T07:00:00Z,0,Centro Naval de San Borja. Ave. San Luis block 24,1,,1,0,CrossFit Peru,Peru,Commercial,756,
http://www.crossfitsouthbrooklyn.com/,https://profilepicsbucket.crossfit.com/017ed-A1157_2-184.jpg,1,342,40.6794749,-73.983603,Brooklyn,crossfit,2,11217,US,0,2007-09-21T07:00:00Z,0,597 Degraw St,1,NY,1,1,CrossFit South Brooklyn,United States,Commercial,1157,New York
https://cfbudapest.com/,https://profilepicsbucket.crossfit.com/1e3d5-A1159_2-184.jpg,1,308,47.463354055822975,19.13346566004236,Budapest,crossfit,2,1012,HU,0,2007-09-22T07:00:00Z,0,Márvány u. 17,1,,1,0,CrossFit Budapest,Hungary,Commercial,1159,
http://crossfitstronghold.com/,https://profilepicsbucket.crossfit.com/aa7cd-A396_4-184.jpg,1,347,47.655395,-117.330447,Spokane Valley,crossfit,4,99212,US,0,2007-09-27T07:00:00Z,0,204 S Koren Road, Suite 100,1,WA,1,0,CrossFit Stronghold,United States,Commercial,396,Washington
http://www.crossfitnorthfulton.com/,https://profilepicsbucket.crossfit.com/ed36b-A398_2-184.jpg,1,356,34.0595659,-84.319708,Roswell,crossfit,2,30076,US,0,2007-10-09T07:00:00Z,0,700 Hembree Pl, Suite E,1,GA,1,0,CrossFit North Fulton,United States,Commercial,398,Georgia
http://www.crossfitnorthatlanta.com/,https://profilepicsbucket.crossfit.com/c28e1-A399_2-184.jpg,1,379,33.801633,-84.42109,Atlanta,crossfit,2,30318,US,0,2007-10-11T07:00:00Z,0,1730 Taylor Street NW,1,GA,1,0,CrossFit Atlanta,United States,Commercial,399,Georgia
http://www.crossfittx.com/,https://profilepicsbucket.crossfit.com/b7348-A401_3-184.jpg,1,357,30.53967,-97.554105,Hutto,crossfit,3,78634,US,0,2007-10-11T07:00:00Z,0,641 W Front St,1,TX,1,0,CrossFit Texas,United States,Commercial,401,Texas
http://xfitchf.wordpress.com/,https://profilepicsbucket.crossfit.com/2b28a-A402_1-184.jpg,1,349,35.758016,-83.955296,Maryville,crossfit,1,37804,US,0,2007-10-11T07:00:00Z,0,1410 Sevierville Rd,1,TN,1,0,CrossFit CHF,United States,Commercial,402,Tennessee
http://www.crossfithickory.com,https://profilepicsbucket.crossfit.com/f02c1-A1031_4-184.jpg,1,286,35.733081,-81.341342,Hickory,crossfit,4,28601,US,0,2007-10-15T07:00:00Z,0,247 1st Ave NW,1,NC,1,0,CrossFit Hickory,United States,Commercial,1031,North Carolina
http://www.riotathletics.com,https://profilepicsbucket.crossfit.com/b7586-A408_2-184.jpg,1,355,47.60618958930356,-122.33927838734132,Seattle,crossfit,2,98101,US,0,2007-10-17T07:00:00Z,0,1223 Western Ave,1,WA,1,0,CrossFit Seattle,United States,Commercial,408,Washington
